,nid,first.name,last.name,eval.year,court,pap,gender,asian,black,hispanic,white,judjis_score,ci_l,ci_u
1,4263096,A.,Quattlebaum,2021,U.S. Court of Appeals for the Fourth Circuit,1,1,0,0,0,1,0.57142857,0.26453334,0.8783238
2,4263096,A.,Quattlebaum,2024,U.S. Court of Appeals for the Fourth Circuit,1,1,0,0,0,1,0.26190476,0.04001988,0.48378965
3,1385106,Abner,Mikva,1990,U.S. Court of Appeals for the District of Columbia Circuit,0,1,0,0,0,1,-0.5,-1.2433919,0.24339194
4,1385106,Abner,Mikva,1994,U.S. Court of Appeals for the District of Columbia Circuit,0,1,0,0,0,1,-0.625,-0.8113308,-0.4386692
5,1390991,Adalberto,Jordan,2015,U.S. Court of Appeals for the Eleventh Circuit,0,1,0,0,1,0,-0.0833333,-0.5768751,0.41020845
6,1390991,Adalberto,Jordan,2017,U.S. Court of Appeals for the Eleventh Circuit,0,1,0,0,1,0,-0.2222222,-0.5543111,0.10986664
7,1390991,Adalberto,Jordan,2020,U.S. Court of Appeals for the Eleventh Circuit,0,1,0,0,1,0,-0.1111111,-0.3177276,0.09550534
8,1390991,Adalberto,Jordan,2024,U.S. Court of Appeals for the Eleventh Circuit,0,1,0,0,1,0,0,0,0
9,1384036,Alan,Lourie,1995,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0,0,0
10,1384036,Alan,Lourie,1999,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0.08333333,-0.1127803,0.27944695
11,1384036,Alan,Lourie,2003,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0.26666667,-0.0814625,0.61479579
12,1384036,Alan,Lourie,2006,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0.40740741,-0.477819,1.29263378
13,1384036,Alan,Lourie,2011,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0.14285714,-0.13474,0.42045433
14,1384036,Alan,Lourie,2014,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0,-0.4494328,0.44943276
15,1384036,Alan,Lourie,2017,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0.13333333,-0.1509129,0.41757957
16,1384036,Alan,Lourie,2019,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0,0,0
17,1384036,Alan,Lourie,2022,U.S. Court of Appeals for the Federal Circuit,1,1,0,0,0,1,0,0,0
18,1385816,Alan,Norris,1991,U.S. Court of Appeals for the Sixth Circuit,1,1,0,0,0,1,0.66666667,NA,NA
19,1385816,Alan,Norris,1994,U.S. Court of Appeals for the Sixth Circuit,1,1,0,0,0,1,0.1984127,-0.0439641,0.44078949
20,1385816,Alan,Norris,1995,U.S. Court of Appeals for the Sixth Circuit,1,1,0,0,0,1,0.1984127,-0.0439641,0.44078949
21,1385816,Alan,Norris,1999,U.S. Court of Appeals for the Sixth Circuit,1,1,0,0,0,1,0.4,-0.1684925,0.96849248
22,1385816,Alan,Norris,2002,U.S. Court of Appeals for the Sixth Circuit,1,1,0,0,0,1,0.58333333,0.34193212,0.82473455
23,1385816,Alan,Norris,2006,U.S. Court of Appeals for the Sixth Circuit,1,1,0,0,0,1,0.66666667,0.54731943,0.7860139
24,1385816,Alan,Norris,2010,U.S. Court of Appeals for the Sixth Circuit,1,1,0,0,0,1,0.08333333,-0.1127803,0.27944695
